グループ,施設名,郵便番号,所在地,緯度,経度,電話番号
保育所,岩倉保育所,779-3620,美馬市脇町岩倉2426-4,,,0883-53-5533
保育所,江原保育所,779-3600,美馬市脇町字拝原700-1,,,0883-53-3070
保育所,美馬第一保育所,779-3600,美馬市美馬町字柿木61-1,,,0883-63-2223
保育所,美馬第二保育所,779-3600,美馬市美馬町字谷尻57-2,,,0883-63-4793
保育所,穴吹保育所,777-0005,美馬市穴吹町穴吹字畑中1-1,,,0883-53-7963
保育所,半田保育所,779-4100,美馬郡つるぎ町半田字田井487-2,,,0883-64-3607
保育所,貞光保育所,779-4100,美馬郡つるぎ町貞光字西山148-1,,,0883-62-2179
保育所,三野保育所,771-2304,三好市三野町芝生1293-8,,,0883-77-2041
保育所,王地保育所,771-2302,三好市三野町加茂野宮1378,,,0883-77-2077
保育所,池田第一保育所,778-0002,三好市池田町マチ2155-1,,,0883-72-0147
保育所,池田第二保育所,779-5161,三好市池田町中西サコダ151,,,0883-74-0103
保育所,かめの子保育園,778-0005,三好市池田町シマ799-7,,,0883-72-2215
保育所,大泉保育園,778-0007,三好市池田町ヤマダ668,,,0883-72-5713
保育所,上名保育所,779-5452,三好市山城町上名454-2,,,0883-84-1352
保育所,政友保育所,779-5344,三好市山城町政友42番地,,,0883-86-2115
保育所,西井川保育所,779-4806,三好市井川町西井川383,,,0883-76-3180
保育所,東祖谷保育所,778-0203,三好市東祖谷下瀬202番地3,,,0883-88-2535
保育所,櫟生保育所,778-0101,三好市西祖谷山村一宇262-1,,,0883-87-2239
保育所,みよし保育所,771-2501,三好郡東みよし町昼間3025-9,,,0883-79-2496
保育所,みのだ保育園,771-2501,三好郡東みよし町昼間1022-1,,,0883-79-3354
保育所,みのり乳児園,779-4701,三好郡東みよし町加茂1454-1,,,0883-82-3150
保育所,みかも保育所,779-4702,三好郡東みよし町西庄字戎堂11-1,,,0883-82-2145
保育所,伊島保育所,774-1760,阿南市伊島町伊吹31,,,0884-33-0392
保育所,桜谷保育園,771-5502,那賀郡那賀町桜谷字東畑46-1,,,0884-66-0332
保育所,木沢保育園,771-5200,那賀郡那賀町大字坂州字向工155-3,,,0884-65-2161
幼稚園,延野幼稚園,771-5406,那賀郡那賀町延野字王子原93-1,33.82085458,134.4757052,
幼稚園,三庄幼稚園,779-4703,三好郡東みよし町中庄1130-1,34.03820379,133.9460543,
幼稚園,加茂幼稚園,779-4701,三好郡東みよし町加茂2688,34.03626381,133.9230933,
幼稚園,足代幼稚園,771-2502,三好郡東みよし町足代2708,34.04301323,133.901756,
幼稚園,昼間幼稚園,771-2501,三好郡東みよし町昼間1550-1,34.04250998,133.877348,
幼稚園,古見幼稚園,779-4100,美馬郡つるぎ町一宇字太刀之本5-4,33.95127591,134.0620612,
幼稚園,太田幼稚園,779-4100,美馬郡つるぎ町貞光字太田西107,34.04451904,134.0801794,
幼稚園,貞光幼稚園,779-4100,美馬郡つるぎ町貞光字野口66,34.03564014,134.0603251,
幼稚園,半田幼稚園,779-4100,美馬郡つるぎ町半田字田井289,34.03214015,134.0306596,
幼稚園,神宅幼稚園,771-1320,板野郡上板町神宅字喜来135,34.13380327,134.4141217,
幼稚園,東光幼稚園,771-1330,板野郡上板町西分字東光8,34.11715893,134.4285278,
幼稚園,高志幼稚園,771-1347,板野郡上板町高瀬字天目一1108,34.10415787,134.4191733,
幼稚園,松島幼稚園,771-1301,板野郡上板町鍛冶屋原字北原20,34.12061663,134.3994392,
幼稚園,板野西幼稚園　,779-0111,板野郡板野町那東字楠木15,34.1356829,134.4382138,
幼稚園,板野東幼稚園大坂分園,779-0101,板野郡板野町大坂字宮東20,34.17808066,134.4482152,
幼稚園,板野東幼稚園,779-0104,板野郡板野町吹田字町東8-1,34.1473869,134.4635636,
幼稚園,板野南幼稚園,779-0118,板野郡板野町下庄字真弓71,34.12373064,134.4573717,
幼稚園,藍住南幼稚園,771-1201,板野郡藍住町奥野字猪熊89-1,34.12343711,134.4917369,
幼稚園,藍住西幼稚園,771-1230,板野郡藍住町富吉字地神79,34.137756,134.488586,
幼稚園,藍住北幼稚園,771-1264,板野郡藍住町住吉字乾1,34.13187537,134.5057485,
幼稚園,藍住東幼稚園,771-1270,板野郡藍住町勝瑞字成長65,34.12866526,134.5190315,
幼稚園,北島北幼稚園,771-0201,板野郡北島町北村字壱町四反地24-3,34.13592207,134.5523757,
幼稚園,北島幼稚園,771-0203,板野郡北島町中村字長池34-1,34.12486651,134.5488794,
幼稚園,北島南幼稚園,771-0204,板野郡北島町鯛浜字向42,34.11889497,134.5430638,
幼稚園,喜来幼稚園,771-0212,板野郡松茂町中喜来字前原西一番越14,34.14286349,134.5742532,
幼稚園,長原幼稚園,771-0216,板野郡松茂町長原535,34.1181314,134.6030023,
幼稚園,松茂幼稚園,771-0218,板野郡松茂町住吉字住吉開拓187,34.13247622,134.5900232,
幼稚園,海陽幼稚園,775-0202,海部郡海陽町四方原字広谷18,33.61479177,134.3574146,
幼稚園,日和佐幼稚園,779-2305,海部郡美波町奥河内字弁財天19-3,33.72795223,134.5336552,
幼稚園,あい幼稚園,771-5207,那賀郡那賀町阿井字寺西7 ,33.84909511,134.4806953,
幼稚園,北川幼稚園,771-6511,那賀郡那賀町木頭折宇字六地蔵89,33.77494552,134.1137201,
幼稚園,藍畑幼稚園,779-3200,名西郡石井町藍畑字東覚円670,34.09790795,134.4410021,
幼稚園,高川原幼稚園,779-3200,名西郡石井町高川原字高川原1258,34.07651126,134.4489324,
幼稚園,浦庄幼稚園,779-3200,名西郡石井町浦庄字下浦481-1,34.06560433,134.4156499,
幼稚園,高原幼稚園,779-3200,名西郡石井町高原字東高原251,34.08326985,134.4215935,
幼稚園,石井幼稚園,779-3200,名西郡石井町石井字石井1170-1,34.0645837,134.4432932,
幼稚園,吾橋幼稚園,778-0104,三好市西祖谷山村下吾橋303-2,33.86635017,133.7869795,
幼稚園,井内幼稚園,779-4805,三好市井川町井内西4896-1,33.99935769,133.880585,
幼稚園,西井川幼稚園,779-4806,三好市井川町西井川610-1,34.03238834,133.843728,
幼稚園,辻幼稚園,779-4801,三好市井川町辻39,34.02788744,133.8781406,
幼稚園,山城幼稚園　,779-5304,三好市山城町大川持30-2,33.96601117,133.7541115,
幼稚園,箸蔵幼稚園,778-0020,三好市池田町州津井関1109-1,34.03788059,133.8375592,
幼稚園,池田幼稚園,778-0001,三好市池田町ウエノ2869-2,34.03088304,133.8089181,
幼稚園,三縄幼稚園,779-5161,三好市池田町中西イバ504-11,33.99688997,133.7913992,
幼稚園,白地幼稚園,778-5251,三好市池田町白地本名155,34.01689956,133.7815886,
幼稚園,三島幼稚園,779-3600,美馬市穴吹町三島字三谷374,34.05512944,134.1305738,
幼稚園,穴吹幼稚園,777-0005,美馬市穴吹町穴吹字柏40,34.0467649,134.1691472,
幼稚園,重清西幼稚園,779-3600,美馬市美馬町字八幡115,34.04750108,134.0172379,
幼稚園,重清東幼稚園,779-3600,美馬市美馬町字大泉51-1,34.05133242,134.043022,
幼稚園,喜来幼稚園,779-3600,美馬市美馬町字天神63-1,34.04855894,134.0534612,
幼稚園,芝坂幼稚園,779-3600,美馬市美馬町字南原26,34.06440303,134.0865489,
幼稚園,郡里幼稚園,779-3600,美馬市美馬町字助松158,34.05615691,134.067402,
幼稚園,岩倉幼稚園,779-3620,美馬市脇町岩倉2901,34.06291823,134.1130003,
幼稚園,清水幼稚園,779-3600,美馬市脇町字西俣名1069,34.15663261,134.1561795,
幼稚園,江原南幼稚園,779-3600,美馬市脇町字拝原700-1,34.07186349,134.1721185,
幼稚園,江原北幼稚園,779-3600,美馬市脇町字西赤谷3744-2,34.11169711,134.1711569,
幼稚園,脇町幼稚園,779-3600,美馬市脇町大字猪尻字西ノ久保116,34.07055114,134.1514089,
幼稚園,木屋平幼稚園,779-3600,美馬市木屋平字谷口235-1,33.91490742,134.1756782,
幼稚園,林幼稚園,771-1706,阿波市阿波町東整理155,34.07415651,134.2010679,
幼稚園,伊沢幼稚園,771-1703,阿波市阿波町南柴生83-1,34.08847916,134.2298686,
幼稚園,久勝幼稚園,771-1702,阿波市阿波町森沢24-1,34.0853068,134.2513597,
幼稚園,八幡幼稚園,771-1627,阿波市市場町大野島字稲荷183,34.09143427,134.3108534,
幼稚園,大俣幼稚園,771-1613,阿波市市場町大俣字行峯255-4,34.10315802,134.2624332,
幼稚園,市場幼稚園,771-1700,阿波市市場町市場字上野段676,34.08676284,134.2868616,
幼稚園,土成中央幼稚園,771-1507,阿波市土成町吉田字山の神23-1,34.12360671,134.3517761,
幼稚園,柿原幼稚園,771-1401,阿波市吉野町柿原字ヒロナカ256-1,34.09655659,134.3521558,
幼稚園,一条幼稚園,771-1402,阿波市吉野町西条字岡ノ川原135,34.1006128,134.3862265,
幼稚園,種野幼稚園,776-0000,吉野川市美郷字川俣47,34.03138851,134.2567745,
幼稚園,川田西幼稚園,779-3404,吉野川市山川町川田429-6,34.06165951,134.208437,
幼稚園,川田幼稚園,779-3401,吉野川市山川町住吉189,34.04747033,134.232459,
幼稚園,川田中幼稚園,779-3401,吉野川市山川町町53,34.04616831,134.224879,
幼稚園,山瀬幼稚園,779-3403,吉野川市山川町諏訪266-5,34.06173521,134.2511338,
幼稚園,学島幼稚園,779-3306,吉野川市川島町学字唐戸50,34.05481034,134.2814988,
幼稚園,川島幼稚園,779-3303,吉野川市川島町桑村857,34.06012495,134.3181547,
幼稚園,鴨島幼稚園,776-0010,吉野川市鴨島町鴨島600-1,34.07276095,134.3522492,
幼稚園,飯尾敷地幼稚園,776-0033,吉野川市鴨島町飯尾35-1,34.06245416,134.3492978,
幼稚園,西麻植幼稚園,776-0020,吉野川市鴨島町西麻植字絵馬堂95-1,34.06790932,134.3378579,
幼稚園,森山幼稚園,776-0036,吉野川市鴨島町山路1086,34.06245264,134.3707308,
幼稚園,上浦幼稚園,776-0037,吉野川市鴨島町上浦931,34.06847014,134.3971093,
幼稚園,牛島幼稚園,776-0001,吉野川市鴨島町牛島901-1,34.07395523,134.386241,
幼稚園,知恵島幼稚園,776-0014,吉野川市鴨島町知恵島781,34.07998093,134.3503369,
幼稚園,宝田幼稚園,774-0045,阿南市宝田町久保田97-1,33.9223392,134.6371836,
幼稚園,見能林幼稚園,774-0017,阿南市見能林町東野10-2,33.89930682,134.6732777,
幼稚園,橘幼稚園,774-0023,阿南市橘町久保38-3,33.87252476,134.6402623,
幼稚園,新野東幼稚園,779-1510,阿南市新野町名光120-2　　　　　　　　　　　　　　,33.84446124,134.6033005,
幼稚園,新野幼稚園,779-1510,阿南市新野町片山54,33.84738395,134.5866386,
幼稚園,富岡幼稚園,774-0011,阿南市領家町浜田182-1,33.92293405,134.6685121,
幼稚園,大野幼稚園,774-0047,阿南市下大野町三条15-5,33.93435686,134.5951674,
幼稚園,加茂谷幼稚園,771-5172,阿南市吉井町原33,33.92222976,134.5586086,
幼稚園,横見幼稚園,774-0042,阿南市横見町上木戸49-1,33.9288629,134.656052,
幼稚園,新開幼稚園,773-0022,小松島市大林町字中津44-5,33.9780974,134.6180925,
幼稚園,和田島幼稚園,773-0025,小松島市和田島町字山のはな27,33.99646622,134.6399119,
幼稚園,坂野幼稚園,773-0023,小松島市坂野町字根上り10,33.98208751,134.6328923,
幼稚園,立江幼稚園,773-0017,小松島市立江町字松本34-3,33.96819563,134.6036054,
幼稚園,芝田幼稚園,773-0008,小松島市田野町字月の輪77-4,33.98706571,134.5856879,
幼稚園,児安幼稚園,773-0012,小松島市田浦町字近里27,34.0023156,134.5655436,
幼稚園,千代幼稚園,773-0015,小松島市中田町字奥林29,34.0146098,134.5750951,
幼稚園,北小松島幼稚園,773-0001,小松島市小松島町字北浜80,34.01488991,134.5863991,
幼稚園,南小松島幼稚園,773-0001,小松島市小松島町字高須36,34.00540249,134.5857226,
幼稚園,小松島幼稚園,773-0002,小松島市神田瀬町2-63,34.00958658,134.5811507,
幼稚園,堀江南幼稚園,779-0314,鳴門市大麻町西馬詰字橋ノ本7,34.14514919,134.5413214,
幼稚園,堀江北幼稚園,779-0302,鳴門市大麻町大谷字中筋53,34.15879995,134.5398054,
幼稚園,北難西幼稚園,771-0376,鳴門市北灘町折野字屋敷64-3,34.21377622,134.4823743,
幼稚園,北難東幼稚園,771-0372,鳴門市北灘町粟田字西傍示228-1,34.22413534,134.541043,
幼稚園,大津西幼稚園,772-0041,鳴門市大津町大代1210,34.16777,134.567612,
幼稚園,瀬戸幼稚園,771-0361,鳴門市瀬戸町堂浦字地廻り参220-1,34.224992,134.5880902,
幼稚園,成稔幼稚園,772-0051,鳴門市鳴門町高島字北221,34.20377184,134.5969973,
幼稚園,鳴門東幼稚園,772-0053,鳴門市鳴門町土佐泊浦字高砂65-3,34.196018,134.62355,
幼稚園,里浦幼稚園,772-0021,鳴門市里浦町里浦字西浜401,34.16760141,134.6266942,
幼稚園,黒崎幼稚園,772-0001,鳴門市撫養町黒崎字清水86-2,34.18939019,134.5958946,
幼稚園,第一幼稚園,772-0031,鳴門市大津町木津野字薮の内55-2,34.16903032,134.5925978,
幼稚園,桑島幼稚園,772-0011,鳴門市撫養町大桑島字与三左谷32,34.183865,134.607635,
幼稚園,精華幼稚園,772-0017,鳴門市撫養町立岩字内田73,34.17578232,134.6168936,
幼稚園,撫養幼稚園,772-0002,鳴門市撫養町斎田字岩崎135-3,34.17776469,134.6013364,
幼稚園,板東幼稚園,779-0230,鳴門市大麻町板東字采女34,34.15593482,134.5031034,
幼稚園,明神幼稚園,771-0360,鳴門市瀬戸町明神字越浦70,34.20142603,134.5804767,
幼稚園,加茂名南幼稚園,770-0046,徳島市鮎喰町2-11-1,34.06990203,134.500184,
幼稚園,八万南幼稚園,770-8078,徳島市八万町橋本93-3,34.0425188,134.53124,
幼稚園,南井上幼稚園,779-3117,徳島市国府町日開1006,34.0871716,134.4757787,
幼稚園,北井上幼稚園,779-3102,徳島市国府町西黒田字南傍示275-1,34.10029075,134.4662865,
幼稚園,城東幼稚園,770-0861,徳島市住吉3-5-12,34.07647666,134.5704029,
幼稚園,大松幼稚園,770-8023,徳島市勝占町中須156-1,34.02371814,134.5531488,
幼稚園,国府幼稚園,779-3124,徳島市国府町中62-1,34.06766629,134.483613,
幼稚園,応神幼稚園,771-1153,徳島市応神町吉成字長田93-1,34.11539385,134.5282077,
幼稚園,川内北幼稚園,771-0131,徳島市川内町大松21-3,34.11432885,134.5731375,
幼稚園,川内南幼稚園,771-0116,徳島市川内町宮島錦野160-1 ,34.09562731,134.583305,
幼稚園,入田幼稚園,779-3133,徳島市入田町笠木11,34.03878312,134.4415238,
幼稚園,上八万幼稚園,770-8040,徳島市上八万町樋口151-1,34.03548282,134.5081943,
幼稚園,一宮幼稚園,779-3132,徳島市一宮町東丁231,34.03815507,134.4718194,
幼稚園,不動幼稚園,770-0063,徳島市不動本町2-140-7,34.09719465,134.5055005,
幼稚園,千松幼稚園,770-0005,徳島市南矢三町1-7-68,34.08415797,134.5310726,
幼稚園,八万幼稚園,770-8064,徳島市城南町4-1-56,34.05299011,134.5421962,
幼稚園,昭和幼稚園,770-0944,徳島市南昭和町6-3,34.05815904,134.5637373,
幼稚園,沖洲幼稚園,770-0874,徳島市南沖洲5-5-77,34.0606,134.5848476,
幼稚園,加茂名幼稚園,770-0044,徳島市庄町5-14-8　　　　　　　　　,34.07300531,134.5054928,
幼稚園,津田幼稚園,770-8004,徳島市津田西町2-5-34,34.04883291,134.574053,
幼稚園,助任幼稚園,770-0806,徳島市北前川町2-10,34.08069838,134.5551608,
幼稚園,福島幼稚園,770-0868,徳島市福島1-7-53,34.07006279,134.5656621,
幼稚園,佐古幼稚園,770-0026,徳島市佐古六番町1-2,34.07743944,134.52967,
幼稚園,富田幼稚園,770-0937,徳島市富田橋2-28,34.06328514,134.5534426,
幼稚園,新町幼稚園,770-0906,徳島市東山手町2-16-10,34.06807938,134.5448051,
幼稚園,内町幼稚園,770-0847,徳島市幸町3-73,34.06880197,134.5552282,
避難所,Ｂ＆Ｇ徳島海洋センター,770-8011,徳島県徳島市論田町中開47番地の2,34.037466,134.57448,
津波避難,ＣＡＢＩＮＩＩ,771-0125,徳島県徳島市川内町金岡14番地の1,34.0968221,134.5686879,
津波避難,ＦＡＭＩＬＬＥ：ＭＡＳ（ファミール・マス）,770-8003,徳島県徳島市津田本町三丁目1番26号,34.04799069,134.5772908,
避難所,ＪＡ会館,770-0011,徳島県徳島市北佐古一番町5番12号,34.08197971,134.5385951,
避難所,ＪＡ徳島市加茂名支所,770-0046,徳島県徳島市鮎喰町1丁目40番地,34.0717001416,134.5041168,
避難所,ＪＡ徳島市勝占支所,770-8023,徳島県徳島市勝占町中須15番地,34.023492,134.551489,
避難所,ＪＡ徳島市川内支所,771-0142,徳島県徳島市川内町沖島257番地,34.10723268,134.5734473,
避難所,ＪＡ徳島市多家良支所,771-4264,徳島県徳島市多家良町小路地80番地の1,33.99315781,134.5336066,
避難所,ＪＡ徳島市徳島支所,770-0003,徳島県徳島市北田宮四丁目1番46号,34.087026,134.5348593,
避難所,ＪＡ徳島市八万支所,770-8063,徳島県徳島市南二軒屋町一丁目1番22号,34.05497938,134.5464642,
避難所,ＪＡ徳島市眉山支所,770-8040,徳島県徳島市上八万町下中筋98番地の1,34.03745177,134.513364,
避難所,ＪＡ徳島市眉山支所西部出張所,779-3133,徳島県徳島市入田町春日108番地の1,34.04253891,134.4401255,
避難所,ＪＡ徳島市不動支所,770-0063,徳島県徳島市不動本町2丁目183番地の1,34.09406908,134.5067565,
避難所,ＪＡ徳島市北井上支所,779-3102,徳島県徳島市国府町西黒田字南傍示207番地の1,34.09909048,134.4662856,
避難所,ＪＡ徳島市渭東支所,770-0872,徳島県徳島市北沖洲四丁目1番73号,34.0701408441,134.592752,
津波避難,ＫＩハイツ,770-0942,徳島県徳島市昭和町8丁目75番地,34.05570475,134.5713854,
津波避難,ＳＵＮＦＬＯＷＥＲ,770-0864,徳島県徳島市大和町一丁目7番3号,34.0677907,134.5710849,
津波避難,アーバントハイツ平岡,770-0942,徳島県徳島市昭和町8丁目87番地の92,34.05608077,134.5675931,
津波避難,アーバンライフ住吉,770-0861,徳島県徳島市住吉一丁目4番12号,34.07525039,134.5658698,
避難所,アスティとくしま,770-8055,徳島県徳島市山城町東浜傍示1番地の4,34.05310723,134.563574,
津波避難,アマ・デトワール１,770-0944,徳島県徳島市南昭和町6丁目20番地,34.05755968,134.5643097,
津波避難,アマ・デトワール２,770-0944,徳島県徳島市南昭和町6丁目20番地,34.05738,134.5639651,
避難所,あわぎんホール（徳島県郷土文化会館）,770-0835,徳島県徳島市藍場町2丁目14番地,34.074879,134.546186,
避難所,入田中学校,779-3133,徳島県徳島市入田町春日181番地の1,34.04136494,134.4418235,
津波避難,ウィロード１９８８,770-0814,徳島県徳島市南常三島町2丁目3番地,34.07652148,134.5628253,
津波避難,ヴェルセゾン新田ＩＩ,770-8003,徳島県徳島市津田本町四丁目3番48号,34.04509939,134.5775322,
津波避難,エグゼ川内,771-0128,徳島県徳島市川内町上別宮北48番地,34.10242416,134.5668546,
津波避難,エステートアサダ,770-0861,徳島県徳島市住吉三丁目9番11号,34.0730238,134.5704879,
津波避難,エスポワールＩＩ,770-0941,徳島県徳島市万代町6丁目14番地,34.061185,134.565637,
津波避難,エレガンス・ポアソン,770-0816,徳島県徳島市助任本町5丁目25番地の2,34.08319838,134.5609189,
津波避難,オリエンタルハイツ,770-0871,徳島県徳島市金沢二丁目1番10号,34.07295292,134.5839762,
津波避難,ガーデンヒルズ昭和町Ｉ,770-0942,徳島県徳島市昭和町6丁目5番地の1,34.060766,134.565429,
津波避難,カレッジ２１,770-0861,徳島県徳島市住吉一丁目1番16号,34.07535949,134.564059,
避難所,かんぽの宿,770-8071,徳島県徳島市八万町中津山3番地の70,34.066921,134.530799,
津波避難,キャッスル８５,770-0814,徳島県徳島市南常三島町2丁目5番地,34.07635723,134.5629725,
津波避難,キリンパークハイツ,770-0861,徳島県徳島市住吉一丁目3番22号,34.0745057,134.5641549,
津波避難,キリンパークハイツ２,770-0861,徳島県徳島市住吉一丁目3番24号,34.07442856,134.5640336,
津波避難,キングハイツ,770-0866,徳島県徳島市末広一丁目4番26号,34.06503254,134.571492,
津波避難,クラージュＭＡＳＵＫＡＮＥ,770-0861,徳島県徳島市住吉四丁目5番82号,34.07811149,134.5707769,
福祉避難所、高齢者施設、津波避難,ケアハウスとみだ,770-0943,徳島県徳島市中昭和町3丁目48番地の1,34.06109186,134.5593391,
福祉避難所、高齢者施設,ケアハウス健祥会リバティ,771-1151,徳島県徳島市応神町古川字北39番地2,34.106643,134.547592,
津波避難,コーポアトリエ,770-0861,徳島県徳島市住吉二丁目6番5号,34.07690687,134.5672081,
津波避難,コーポエンゼル,771-0137,徳島県徳島市川内町平石若宮162番地の15,34.10375992,134.5829053,
津波避難,コーポシーサイド,770-0874,徳島県徳島市南沖洲三丁目11番22号,34.05991214,134.5861464,
津波避難,コーポハッピー,770-0935,徳島県徳島市伊月町4丁目6番地の7,34.06116,134.550466,
津波避難,コーポ安宅,770-0863,徳島県徳島市安宅一丁目7番3号,34.07005162,134.5711202,
津波避難,コーポ幸,770-0942,徳島県徳島市昭和町7丁目21番地の1,34.05945741,134.5667136,
津波避難,コーポ三好,770-0943,徳島県徳島市中昭和町5丁目11番地,34.06055924,134.5629092,
津波避難,コーポ山本,770-0868,徳島県徳島市福島一丁目8番59号,34.06843236,134.5655821,
津波避難,コーポ尾崎,770-0943,徳島県徳島市中昭和町2丁目60番地,34.06170524,134.5578685,
津波避難,コーポ米田,770-0861,徳島県徳島市住吉五丁目8番10号,34.08064439,134.5735837,
津波避難,コーポ齋藤,770-0866,徳島県徳島市末広一丁目4番14号,34.06612901,134.5717749,
津波避難,コスモハイツ,770-0941,徳島県徳島市万代町5丁目47番地の3,34.06192139,134.5643652,
津波避難,コスモハイツ大和ＩＩ,770-0864,徳島県徳島市大和町二丁目1番5号,34.06878262,134.572212,
津波避難,コトングラス北常三島,770-0812,徳島県徳島市北常三島町3丁目23番地の17,34.08169547,134.5638446,
津波避難,サーパス南末広弐番館,770-0865,徳島県徳島市南末広町四番33号,34.06252531,134.5766171,
津波避難,サーパス渭東,770-0872,徳島県徳島市北沖洲一丁目1番50号,34.06768201,134.583538,
津波避難,サウスキャッスル,770-0812,徳島県徳島市北常三島町2丁目17番地の35,34.08088904,134.5629807,
津波避難,サニーテラス,770-0866,徳島県徳島市末広四丁目3番5号,34.06455524,134.5789802,
津波避難,サンハイツイケダ,770-0942,徳島県徳島市昭和町8丁目87番地,34.05532582,134.5683276,
津波避難,サンハイム朝田,770-0863,徳島県徳島市安宅一丁目10番27号,34.06916629,134.5730891,
津波避難,シティハウス２,770-0868,徳島県徳島市福島二丁目1番19号,34.07188704,134.5689311,
津波避難,シャトレ徳島,770-0872,徳島県徳島市北沖洲一丁目6番10号,34.06905334,134.5839873,
津波避難,シャルム大和,770-0864,徳島県徳島市大和町二丁目2番78号,34.06779669,134.5718082,
広域避難所,しらさぎ台中央グラウンド,770-8040,徳島県徳島市上八万町西山,34.03170451,134.4894308,
津波避難,スカイハイツ新田,770-8003,徳島県徳島市津田本町五丁目2番41号,34.04447154,134.5782364,
津波避難,ソシア原,771-0130,徳島県徳島市川内町加賀須野1090番地の14,34.12431034,134.5723522,
津波避難,タウンパレス,770-0872,徳島県徳島市北沖洲二丁目3番44号,34.06663559,134.5862038,
津波避難,たおか内科病院,770-0862,徳島県徳島市城東町二丁目7番61号,34.073533,134.5750982,
津波避難,テイクイントーラス,770-0813,徳島県徳島市中常三島町3丁目12番地,34.07878606,134.5653693,
避難所,とくぎんトモニプラザ（県立青少年センター）,770-0851,徳島県徳島市徳島町城内2番地の1,34.07069618,134.5563078,
津波避難,トヨタ自動車従業員駐車場,770-0942,徳島県徳島市昭和町3丁目8番地の1,34.06350959,134.5607034,
津波避難,ドルフ日野,770-0813,徳島県徳島市中常三島町1丁目25番地,34.07925582,134.5606064,
津波避難,トレンドハイツ２１,770-0861,徳島県徳島市住吉四丁目2番41号,34.07882886,134.5679948,
津波避難,ハイツはと,770-0868,徳島県徳島市福島二丁目4番8号,34.06978962,134.5682751,
津波避難,ハイツモナーデ,770-0861,徳島県徳島市住吉三丁目10番46号,34.07451317,134.5682816,
津波避難,ハイツ阿部,770-0872,徳島県徳島市北沖洲三丁目9番10号,34.07171247,134.5906396,
津波避難,ハイツ幸宝,770-0814,徳島県徳島市南常三島町2丁目6番地の2,34.07636353,134.56344,
津波避難,パレス南沖洲,770-0874,徳島県徳島市南沖洲三丁目3番111号,34.06171933,134.5881006,
津波避難,ピュアハイツ,770-0861,徳島県徳島市住吉一丁目3番36号,34.07440538,134.5626063,
津波避難,ビルドＦｉｎｅ,770-0872,徳島県徳島市北沖洲三丁目8番61号,34.06996643,134.5909854,
津波避難,プアゾン,770-0872,徳島県徳島市北沖洲四丁目11番30号,34.07154593,134.5941797,
津波避難,ファミールハイツ栗本１号館,770-0861,徳島県徳島市住吉三丁目10番6号,34.0742587,134.5686164,
津波避難,ファミールハイツ栗本３号館,770-0861,徳島県徳島市住吉三丁目10番2号,34.0746122,134.5684702,
津波避難,ファミールハイツ栗本Ｎｏ．５,770-0861,徳島県徳島市住吉一丁目8番36号,34.07276736,134.5646809,
津波避難,フジハイツ,770-0861,徳島県徳島市住吉二丁目3番,34.07761899,134.5692812,
津波避難,プチメゾンシオン,770-0944,徳島県徳島市南昭和町5丁目69番地の6,34.05577553,134.5626165,
津波避難,ブルーメ森井,770-0937,徳島県徳島市富田橋5丁目4番地,34.05926887,134.5513045,
避難地、広域避難場所,ふれあい健康館,770-8053,徳島県徳島市沖浜東2丁目16番地,34.0522885,134.5540541,
津波避難,フレグランス沖洲,770-0874,徳島県徳島市南沖洲二丁目4番12号,34.06288699,134.5870249,
津波避難,プレタメゾン川内,771-0136,徳島県徳島市川内町平石古田190番地の1,34.10730658,134.5788201,
津波避難,ペアスタ常三島,770-0813,徳島県徳島市中常三島町3丁目19番地の11,34.0783161,134.5653153,
津波避難,ベルモニー会館末広,770-0866,徳島県徳島市末広一丁目2番66号,34.06522005,134.5687528,
津波避難,ペンギンハイツ,770-0861,徳島県徳島市住吉二丁目9番52号,34.07580088,134.5676718,
避難所,ポリテクセンター徳島,770-0942,徳島県徳島市昭和町8丁目27番地の20,34.05531823,134.5743072,
津波避難,マンション雪風,770-0813,徳島県徳島市中常三島町1丁目18番地の4,34.07999668,134.5608076,
津波避難,マンワール南末広,770-0865,徳島県徳島市南末広町2番74号,34.06221771,134.5709607,
避難所,むつみ会館,779-3112,徳島県徳島市国府町芝原字神楽免96番地,34.091939,134.467719,
津波避難,モデルナマンションＩＩＩ,770-0942,徳島県徳島市昭和町6丁目25番地,34.06009783,134.5654509,
津波避難,モンテメール川内,771-0136,徳島県徳島市川内町平石古田79番地の1,34.108357,134.577068,
津波避難,ラ・ヴィータ博愛ＰＡＲＴＶ,770-8002,徳島県徳島市津田町一丁目12番14号,34.05222197,134.5835193,
津波避難,ラ・フォーレ２,771-0125,徳島県徳島市川内町金岡5番地の1,34.09616756,134.5694251,
津波避難,ラ・フォーレＩＩＩ,771-0125,徳島県徳島市川内町金岡40番地の1,34.09731163,134.5660404,
津波避難,ラ・フォーレ川内,771-0125,徳島県徳島市川内町金岡5番地の2,34.09664291,134.5694429,
津波避難,リッチ・ド・川内,771-0123,徳島県徳島市川内町鈴江北19番地,34.09838283,134.5727035,
津波避難,リッチ・ド・川内２,771-0125,徳島県徳島市川内町金岡64の1番地,34.09751361,134.5702343,
津波避難,レインボーハウス,771-0130,徳島県徳島市川内町加賀須野1076番地の38,34.12448311,134.573061,
